token_str,total,rejected,rejection_rate
",",17685,1431,0.0809
.,13038,129,0.0099
',8628,507,0.0588
"
",8451,1200,0.142
 bir,5367,615,0.1146
 ve,5244,414,0.0789
"""",3099,219,0.0707
'd,2829,138,0.0488
’,2463,126,0.0512
:,2448,12,0.0049
 ,2106,354,0.1681
e,1971,15,0.0076
nin,1872,63,0.0337
a,1821,60,0.0329
 için,1782,111,0.0623
nın,1641,30,0.0183
 en,1572,159,0.1011
 olarak,1572,177,0.1126
ın,1491,48,0.0322
in,1464,51,0.0348
 Bu,1317,489,0.3713
-,1179,36,0.0305
 olan,1137,87,0.0765
?,1086,3,0.0028
 ile,1077,66,0.0613
Cevap,1014,177,0.1746
�,888,24,0.027
un,798,45,0.0564
 büyük,762,36,0.0472
 (,738,99,0.1341
