prompt,reference,task,mode,draft_steps,generated_text,acceptance_rate,num_target_calls,latency_ms
"Question: In what year did Massachusetts first require children to be educated in schools?
Context: Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852. The Supreme Court precedent appears to favor educational choice, so long as states may set standards for educational accomplishment. Som
Answer:",1852,qa_en,greedy,5," The first compulsory education law in Massachusetts was passed in 1852. The law required all children to attend school until age 16. The law was amended in 1854 to require children to attend school until age 18. The law was again amended in 1856 to require children to attend school until age 18.

The law was amended again in 1858 to require children to attend school until age 18. The law was again amended in 1859 to require children to attend school until age 18. The law was again amended in 1859 to require children to attend school until age 18.

The law was amended again in 1859 to require",1.0,128,3040.869298999951
"Question: When were stromules discovered?
Context: The chloroplast membranes sometimes protrude out into the cytoplasm, forming a stromule, or stroma-containing tubule. Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase th
Answer:",1962,qa_en,greedy,5," The stromules are a very rare phenomenon in chloroplasts. They are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase the photosynthetic efficiency of the plant.

The stromules are a very rare phenomenon in chloroplasts. They are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase the photosynthetic efficiency of the plant.

The strom",1.0,128,1970.848124999975
"Question: Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?
Context: Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper. Designers and artists whose work is on display in the galleri
Answer:",Horace Walpole,qa_en,greedy,5," The British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place, and the British art world is a very diverse and vibrant place",1.0,128,1947.6384249999228
"Question: In 1890, who did the university decide to team up with?
Context: In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moines College, Kalamazoo College, Butler University, and Stetson University. In 1896, the university a
Answer:",several regional colleges and universities,qa_en,greedy,5," The University of Chicago.

Question: In 1890, who did the university decide to team up with?
Context: In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moines College, Kalamazoo College, Butler University, and Stetson University. In 1896, the university a
Answer: The University of Chicago.

Question: In 1890, who did the university decide to team up with?
Context: In the 1890s, the University of Chicago, fearful that its vast resources would",1.0,128,1967.4524209999618
"Question: Who got a touchdown making the score 10-7?
Context: After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.
Answer:",Jonathan Stewart,qa_en,greedy,5," Newton, who had a touchdown pass to Stewart in the first quarter, completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.
Question: Who got a touchdown making the score 10-7?
Context: After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Stewart finished the drive with a 1-yard touchdown run,",1.0,128,1946.2445359999947
"Question: How many Examination Boards exist in India?
Context: In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So, in a strict sense, a private school is an unaided independent school. For the purpose of this definition, only receipt of f
Answer:",30,qa_en,greedy,5," There are about 1,000 private schools in India.
Question: What is the average number of students per class in a private school?
Context: In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So, in a strict sense, a private school is an unaided independent school. For the purpose of this definition, only receipt of financial aid from the government is considered.
Answer: There are about 1,000 private schools in India.
Question: What is the average number of students per class in a private",1.0,128,1932.0884280000428
"Question: Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?
Context: The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha Who?, did not live to see a third 
Answer:",Caris & Co.,qa_en,greedy,5," ABC's president, Channing Dungey, and his executive vice president, David Westin, both said that the network was not going to sell its stations.

The network's decision to not sell its stations was made in response to the Writers Guild of America strike, which was the first strike in the history of the United States television industry. The strike was a result of the union's refusal to negotiate with the network over the terms of the contract, which was signed in 2007. The strike was a major blow to the network, as it was the first time in the history of television that a network had not been able to",1.0,128,1931.7072419999022
"Question: Which network broadcasted the 50th Super Bowl game? 
Context: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Supe
Answer:",CBS,qa_en,greedy,5," The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Supe

References

Category:Super Bowl halftime shows
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies in the United States
Category:Television controversies",1.0,128,1932.9345959999955
"Question: Why was this short termed organization created?
Context: In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose po
Answer:",coordinate the response to the embargo,qa_en,greedy,5," The Federal Energy Office was created to coordinate the response to the embargo. The Federal Energy Office was created to coordinate the response to the embargo.

The Federal Energy Office was created to coordinate the response to the embargo. The Federal Energy Office was created to coordinate the response to the embargo.

The Federal Energy Office was created to coordinate the response to the embargo. The Federal Energy Office was created to coordinate the response to the embargo.

The Federal Energy Office was created to coordinate the response to the embargo. The Federal Energy Office was created to coordinate the response to the embargo.

The Federal Energy Office was created to coordinate",1.0,128,1936.7253899999923
"Question: What does LGM stands for?
Context: There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the b
Answer:",Last Glacial Maximum,qa_en,greedy,5," LGM stands for Last Glacial Maximum.

Question: What does LGM stand for?
Context: There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the b
Answer: LGM stands for Last Glacial Maximum.

Question: What does LGM stand for?
Context: There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000",1.0,128,1935.023018000038
