prompt,reference,task,mode,draft_steps,generated_text,acceptance_rate,num_target_calls,latency_ms,gamma_setting
"Question: In what year did Massachusetts first require children to be educated in schools?
Context: Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852. The Supreme Court precedent appears to favor educational choice, so long as states may set standards for educational accomplishment. Som
Answer:",1852,qa_en,speculative,1," In what year did Massachusetts first require children to be educated in schools?
Context: Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852. The Supreme Court precedent appears to favor educational choice, so long as states may set standards for educational accomplishment. Som
Answer: In what year did Massachusetts first require children to be educated in schools?
Context: Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852. The Supreme Court precedent appears to favor educational choice, so long as states",0.9846153846153847,65,4792.293479000364,1
"Question: When were stromules discovered?
Context: The chloroplast membranes sometimes protrude out into the cytoplasm, forming a stromule, or stroma-containing tubule. Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase th
Answer:",1962,qa_en,speculative,1," When were stromules discovered?
Context: The chloroplast membranes sometimes protrude out into the cytoplasm, forming a stromule, or stroma-containing tubule. Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase the number of chloroplasts in a plant, or to increase the number of chloroplasts in a plant.
Answer: When were stromules discovered?
Context: The chloroplast membranes sometimes protrude out",0.9393939393939394,66,4652.935701000388,1
"Question: Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?
Context: Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper. Designers and artists whose work is on display in the galleri
Answer:",Horace Walpole,qa_en,speculative,1," The V&A's British galleries are a diverse collection of artists and designers, from the likes of John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John Constable, John",0.9253731343283582,67,4738.13758399956,1
"Question: In 1890, who did the university decide to team up with?
Context: In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moines College, Kalamazoo College, Butler University, and Stetson University. In 1896, the university a
Answer:",several regional colleges and universities,qa_en,speculative,1," In 1890, who did the university decide to team up with?
Context: In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moines College, Kalamazoo College, Butler University, and Stetson University. In 1896, the university formed a partnership with the University of Wisconsin-Madison, which had been founded in 1892. The university's first president was William H. H. Haskins, who had been president of the University of Wisconsin-Madison since 1892.
Answer: In 1890, who did",0.8428571428571429,70,4972.2749539996585,1
"Question: Who got a touchdown making the score 10-7?
Context: After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.
Answer:",Jonathan Stewart,qa_en,speculative,1," The Panthers' defense.
Context: After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.
Answer: The Panthers' defense.
Context: After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while",0.9545454545454546,66,4638.775641000393,1
"Question: How many Examination Boards exist in India?
Context: In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So, in a strict sense, a private school is an unaided independent school. For the purpose of this definition, only receipt of f
Answer:",30,qa_en,speculative,1," How many Examination Boards exist in India?
Context: In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So, in a strict sense, a private school is an unaided independent school. For the purpose of this definition, only receipt of government aid is considered.
Answer: How many Examination Boards exist in India?
Context: In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So,",0.9692307692307692,65,4565.4710339986195,1
"Question: Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?
Context: The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha Who?, did not live to see a third 
Answer:",Caris & Co.,qa_en,speculative,1," The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha Who?, did not live to see a third season.
Answer: The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha",1.0,64,4538.392252999984,1
"Question: Which network broadcasted the 50th Super Bowl game? 
Context: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Supe
Answer:",CBS,qa_en,speculative,1," The Super Bowl 50 halftime show was broadcast on NBC. 
Context: The Super Bowl 50 halftime show was broadcast on NBC. 
Answer: The Super Bowl 50 halftime show was broadcast on CBS. 
Context: The Super Bowl 50 halftime show was broadcast on CBS. 
Answer: The Super Bowl 50 halftime show was broadcast on ABC. 
Context: The Super Bowl 50 halftime show was broadcast on ABC. 
Answer: The Super Bowl 50 halftime show was broadcast on ABC. 
Context: The Super Bowl 50 halftime show was broadcast on ABC. 
Answer: The Super Bowl 50 halftime show was broadcast on",0.9545454545454546,66,4691.492934000053,1
"Question: Why was this short termed organization created?
Context: In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose po
Answer:",coordinate the response to the embargo,qa_en,speculative,1," Why was this short termed organization created?
Context: In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose production was declining. The short was created to help states adjust to the embargo.
Answer: Why was this short termed organization created?
Context: In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo",0.8970588235294118,68,4784.054927999023,1
"Question: What does LGM stands for?
Context: There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the b
Answer:",Last Glacial Maximum,qa_en,speculative,1," What does LGM stands for?Context: There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the Amazon basin during the LGM was significantly lower than that during the Holocene. This is consistent with the hypothesis that the LGM was a period of reduced rainfall in the Amazon basin. The LGM is also associated with a significant increase in the number of species of plants and animals in the Amazon basin.",0.8169014084507042,71,5033.319828000458,1
"Question: What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?
Context: In 1967, Manuel Blum developed an axiomatic complexity theory based on his axioms and proved an important result, the so-called, speed-up theorem. The field really began to flourish in 1971 when the US researcher Stephen Cook and, working independently, Leonid Levin in the USSR, proved that there ex
Answer:","""Reducibility Among Combinatorial Problems""",qa_en,speculative,1," What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?Context: In 1967, Manuel Blum developed an axiomatic complexity theory based on his axioms and proved an important result, the so-called, speed-up theorem. The field really began to flourish in 1971 when the US researcher Stephen Cook and, working independently, Leonid Levin in the USSR, proved that there is a limit to the number of solutions to a given problem. The speed-up theorem was a major breakthrough in the field of complexity theory. The paper was published",0.8823529411764706,68,4743.341786999736,1
